"Plot Title: 21415544"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21415544, SEN S/N: 21415544)","Specific Conductance, μS/cm (LGR S/N: 21415544)"
1,02/05/26 01:00:00 AM,-11.65,0.0
2,02/05/26 01:10:00 AM,-11.65,0.0
3,02/05/26 01:20:00 AM,-11.65,0.0
4,02/05/26 01:30:00 AM,-11.65,0.0
5,02/05/26 01:40:00 AM,-11.65,0.0
6,02/05/26 01:50:00 AM,-11.65,0.0
7,02/05/26 02:00:00 AM,-11.65,0.0
8,02/05/26 02:10:00 AM,-11.65,0.0
9,02/05/26 02:20:00 AM,-11.65,0.0
10,02/05/26 02:30:00 AM,-11.65,0.0
11,02/05/26 02:40:00 AM,-11.65,0.0
12,02/05/26 02:50:00 AM,-11.65,0.0
13,02/05/26 03:00:00 AM,-11.65,0.0
14,02/05/26 03:10:00 AM,-11.65,0.0
15,02/05/26 03:20:00 AM,-11.65,0.0
16,02/05/26 03:30:00 AM,-11.65,0.0
17,02/05/26 03:40:00 AM,-11.65,0.0
18,02/05/26 03:50:00 AM,-11.65,0.0
19,02/05/26 04:00:00 AM,-11.65,0.0
20,02/05/26 04:10:00 AM,-11.65,0.0
21,02/05/26 04:20:00 AM,-11.65,0.0
22,02/05/26 04:30:00 AM,-11.65,0.0
23,02/05/26 04:40:00 AM,-11.65,0.0
24,02/05/26 04:50:00 AM,-11.65,0.0
25,02/05/26 05:00:00 AM,-11.65,0.0
26,02/05/26 05:10:00 AM,-11.65,0.0
27,02/05/26 05:20:00 AM,-11.65,0.0
28,02/05/26 05:30:00 AM,-11.65,0.0
29,02/05/26 05:40:00 AM,-11.65,0.0
30,02/05/26 05:50:00 AM,-11.65,0.0
31,02/05/26 06:00:00 AM,-11.65,0.0
32,02/05/26 06:10:00 AM,-11.65,0.0
33,02/05/26 06:20:00 AM,-11.65,0.0
34,02/05/26 06:30:00 AM,-11.65,0.0
35,02/05/26 06:40:00 AM,-11.65,0.0
36,02/05/26 06:50:00 AM,-11.65,0.0
37,02/05/26 07:00:00 AM,-11.65,0.0
38,02/05/26 07:10:00 AM,-11.65,0.0
39,02/05/26 07:20:00 AM,-11.65,0.0
40,02/05/26 07:30:00 AM,-11.65,0.0
41,02/05/26 07:40:00 AM,-11.65,0.0
42,02/05/26 07:50:00 AM,-11.65,0.0
43,02/05/26 08:00:00 AM,-11.65,0.0
44,02/05/26 08:10:00 AM,-11.65,0.0
45,02/05/26 08:20:00 AM,-11.65,0.0
46,02/05/26 08:30:00 AM,-11.65,0.0
47,02/05/26 08:40:00 AM,-11.65,0.0
48,02/05/26 08:50:00 AM,-11.65,0.0
49,02/05/26 09:00:00 AM,-11.65,0.0
50,02/05/26 09:10:00 AM,-11.65,0.0
51,02/05/26 09:20:00 AM,-11.65,0.0
52,02/05/26 09:30:00 AM,-11.65,0.0
53,02/05/26 09:40:00 AM,-11.65,0.0
54,02/05/26 09:50:00 AM,-11.65,0.0
55,02/05/26 10:00:00 AM,-11.65,0.0
56,02/05/26 10:10:00 AM,-11.65,0.0
57,02/05/26 10:20:00 AM,-11.65,0.0
58,02/05/26 10:30:00 AM,-11.65,0.0
59,02/05/26 10:40:00 AM,-11.65,0.0
60,02/05/26 10:50:00 AM,-11.65,0.0
61,02/05/26 11:00:00 AM,-11.65,0.0
62,02/05/26 11:10:00 AM,-11.65,0.0
63,02/05/26 11:20:00 AM,-11.65,157919.1
64,02/05/26 11:30:00 AM,-11.65,157919.1
65,02/05/26 11:40:00 AM,-11.65,0.0
66,02/05/26 11:50:00 AM,-11.65,0.0
67,02/05/26 12:00:00 PM,-11.65,0.0
68,02/05/26 12:10:00 PM,-11.65,0.0
69,02/05/26 12:20:00 PM,-11.65,0.0
70,02/05/26 12:30:00 PM,-11.65,0.0
71,02/05/26 12:40:00 PM,-11.65,0.0
72,02/05/26 12:50:00 PM,-11.65,0.0
73,02/05/26 01:00:00 PM,-11.65,0.0
74,02/05/26 01:10:00 PM,-11.65,0.0
75,02/05/26 01:20:00 PM,-11.65,0.0
76,02/05/26 01:30:00 PM,-11.65,0.0
77,02/05/26 01:40:00 PM,-11.65,0.0
78,02/05/26 01:50:00 PM,-11.65,0.0
79,02/05/26 02:00:00 PM,-11.65,157919.1
80,02/05/26 02:10:00 PM,-11.65,0.0
81,02/05/26 02:20:00 PM,-11.65,157919.1
82,02/05/26 02:30:00 PM,-11.65,0.0
83,02/05/26 02:40:00 PM,-11.65,0.0
84,02/05/26 02:50:00 PM,-11.65,0.0
85,02/05/26 03:00:00 PM,-11.65,0.0
86,02/05/26 03:10:00 PM,-11.65,0.0
87,02/05/26 03:20:00 PM,-11.65,157919.1
88,02/05/26 03:30:00 PM,-11.65,0.0
89,02/05/26 03:40:00 PM,-11.65,0.0
90,02/05/26 03:50:00 PM,-11.65,157919.1
91,02/05/26 04:00:00 PM,-11.65,0.0
92,02/05/26 04:10:00 PM,-11.65,0.0
93,02/05/26 04:20:00 PM,-11.65,0.0
94,02/05/26 04:30:00 PM,-11.65,0.0
95,02/05/26 04:40:00 PM,-11.65,0.0
96,02/05/26 04:50:00 PM,-11.65,0.0
97,02/05/26 05:00:00 PM,-11.65,0.0
98,02/05/26 05:10:00 PM,-11.65,0.0
99,02/05/26 05:20:00 PM,-11.65,0.0
100,02/05/26 05:30:00 PM,-11.65,0.0
101,02/05/26 05:40:00 PM,-11.65,0.0
102,02/05/26 05:50:00 PM,-11.65,0.0
103,02/05/26 06:00:00 PM,-11.65,0.0
104,02/05/26 06:10:00 PM,-11.65,0.0
105,02/05/26 06:20:00 PM,-11.65,0.0
106,02/05/26 06:30:00 PM,-11.65,0.0
107,02/05/26 06:40:00 PM,-11.65,0.0
108,02/05/26 06:50:00 PM,-11.65,0.0
109,02/05/26 07:00:00 PM,-11.65,157919.1
110,02/05/26 07:10:00 PM,-11.65,0.0
111,02/05/26 07:20:00 PM,-11.65,0.0
112,02/05/26 07:30:00 PM,-11.65,157919.1
113,02/05/26 07:40:00 PM,-11.65,0.0
114,02/05/26 07:50:00 PM,-11.65,157919.1
115,02/05/26 08:00:00 PM,-11.65,157919.1
116,02/05/26 08:10:00 PM,-11.65,0.0
117,02/05/26 08:20:00 PM,-11.65,0.0
118,02/05/26 08:30:00 PM,-11.65,0.0
119,02/05/26 08:40:00 PM,-11.65,0.0
120,02/05/26 08:50:00 PM,-11.65,0.0
121,02/05/26 09:00:00 PM,-11.65,0.0
122,02/05/26 09:10:00 PM,-11.65,0.0
123,02/05/26 09:20:00 PM,-11.65,157919.1
124,02/05/26 09:30:00 PM,-11.65,0.0
125,02/05/26 09:40:00 PM,-11.65,0.0
126,02/05/26 09:50:00 PM,-11.65,0.0
127,02/05/26 10:00:00 PM,-11.65,0.0
128,02/05/26 10:10:00 PM,-11.65,0.0
129,02/05/26 10:20:00 PM,-11.65,0.0
130,02/05/26 10:30:00 PM,-11.65,0.0
131,02/05/26 10:40:00 PM,-11.65,0.0
132,02/05/26 10:50:00 PM,-11.65,0.0
133,02/05/26 11:00:00 PM,-11.65,157919.1
134,02/05/26 11:10:00 PM,-11.65,0.0
135,02/05/26 11:20:00 PM,-11.65,0.0
136,02/05/26 11:30:00 PM,-11.65,157919.1
137,02/05/26 11:40:00 PM,-11.65,0.0
138,02/05/26 11:50:00 PM,-11.65,0.0
139,02/06/26 12:00:00 AM,-11.65,0.0
